Date,Open,High,Low,Close,Adj Close,Volume
12/18/2015,36100.00,36500.00,35800.00,35875.00,33265.71,2067200.00
12/21/2015,35875.00,35900.00,35350.00,35600.00,33010.71,1183400.00
12/22/2015,35500.00,36975.00,35500.00,36975.00,34285.70,1574400.00
12/23/2015,36975.00,36975.00,36250.00,36650.00,33984.34,1203100.00
12/28/2015,36650.00,37075.00,36375.00,37025.00,34332.07,1776100.00
12/29/2015,37200.00,37250.00,37000.00,37250.00,34540.70,1084600.00
12/30/2015,37300.00,37625.00,37000.00,37000.00,34308.89,2431700.00
1/4/2016,37000.00,37050.00,36000.00,36000.00,33381.62,1116800.00
1/5/2016,36000.00,36975.00,35450.00,35675.00,33080.25,3716400.00
1/6/2016,35800.00,37500.00,35800.00,37425.00,34702.97,2618700.00
1/7/2016,36925.00,36925.00,36000.00,36000.00,33381.62,2236400.00
1/8/2016,36000.00,36350.00,35750.00,36175.00,33543.89,3260600.00
1/11/2016,35900.00,35925.00,35300.00,35325.00,32755.72,1940600.00
1/12/2016,35400.00,36250.00,35400.00,36100.00,33474.35,1191600.00
1/13/2016,36150.00,36475.00,35950.00,36100.00,33474.35,1721600.00
1/14/2016,35875.00,36250.00,35575.00,35725.00,33126.62,2274000.00
1/15/2016,35775.00,36200.00,35775.00,36000.00,33381.62,1175000.00
1/18/2016,35500.00,36100.00,35500.00,35650.00,33057.07,956600.00
1/19/2016,35975.00,36200.00,35600.00,35900.00,33288.89,682800.00
1/20/2016,35700.00,36250.00,35600.00,35600.00,33010.71,2517800.00
1/21/2016,35875.00,36200.00,35600.00,35800.00,33196.16,1558700.00
1/22/2016,36200.00,36200.00,35375.00,35600.00,33010.71,3471400.00
1/25/2016,35950.00,36200.00,35625.00,35625.00,33033.89,1691300.00
1/26/2016,35800.00,36150.00,35600.00,35975.00,33358.44,1703700.00
1/27/2016,36000.00,37300.00,35825.00,37300.00,34587.06,2619700.00
1/28/2016,37300.00,37325.00,36525.00,37250.00,34540.70,1413400.00
1/29/2016,37150.00,37150.00,36100.00,36700.00,34030.70,4925500.00
2/1/2016,36700.00,36800.00,36050.00,36800.00,34123.43,2018800.00
2/2/2016,36700.00,37700.00,36525.00,37475.00,34749.34,3189200.00
